program_name,suite,comparison_mode,max_steps,selection_class,selection_reason,audit_scope,source_pointer_like_ratio_vs_best_reference,source_lowered_ratio_vs_best_reference,source_pointer_like_read_count,source_pointer_like_memory_read_count,source_pointer_like_stack_read_count,control_heavy_candidate,verification_passed,spec_reference_seconds,spec_reference_error,lowered_exec_trace_seconds,lowered_exec_trace_error,pointer_like_exact_seconds,pointer_like_exact_exact,pointer_like_exact_exact_trace_match,pointer_like_exact_exact_final_state_match,pointer_like_exact_first_mismatch_step,pointer_like_exact_failure_reason,pointer_like_exact_read_observation_count,pointer_like_exact_memory_read_count,pointer_like_exact_stack_read_count,retrieval_seconds,non_retrieval_seconds,dispatch_decode_seconds,state_update_bookkeeping_seconds,tensor_python_plumbing_seconds,residual_fixed_overhead_seconds,component_total_matches_non_retrieval,component_reconstruction_error_seconds,dominant_non_retrieval_component,pointer_like_non_retrieval_share,pointer_like_retrieval_share,pointer_like_ratio_vs_spec_reference,pointer_like_ratio_vs_lowered_exec_trace,pointer_like_ratio_vs_best_reference,best_reference_id,best_reference_seconds
bytecode_loop_with_subroutine_update_8_a64_b65,control_flow,medium_exact_trace,256,median_ratio,suite median pointer_like ratio vs best reference,stratified_first_pass,4.14598372570762,1.7168801128212166,111,34,77,True,True,0.00046200002543628216,,0.00104010000359267,,0.002271900069899857,True,True,True,,,111,34,77,3.7899939343333244e-05,0.002234000130556524,0.00047220045235008,0.001447899965569377,0.00023560004774481058,7.829966489225626e-05,True,0.0,state_update_bookkeeping_seconds,0.9833179549376025,0.016682045062397413,4.917532348086833,2.1843092606983507,4.917532348086833,spec_reference,0.00046200002543628216
bytecode_subroutine_braid_long_12_a160,control_flow,long_exact_final_state,768,worst_ratio,suite worst pointer_like ratio vs best reference,stratified_first_pass,4.848470164157006,1.8391583463759131,204,63,141,True,True,0.0009596999734640121,,0.0015285999979823828,,0.0044275999534875154,True,True,True,,,204,63,141,6.539968308061361e-05,0.004362200270406902,0.0007931989384815097,0.0030020014382898808,0.00042589998338371515,0.00014109991025179625,True,0.0,state_update_bookkeeping_seconds,0.98522908940111,0.01477091059889,4.613525139014237,2.8965065807481074,4.613525139014237,spec_reference,0.0009596999734640121
bytecode_iterated_helper_accumulator_20_a128_b129,control_flow,long_exact_final_state,512,control_heavy_extra,suite offered a higher-control row outside the median/worst pair,stratified_first_pass,4.00533955450709,1.7525484288790032,267,82,185,True,True,0.0010882000206038356,,0.0021815000800415874,,0.004555499996058643,True,True,True,,,267,82,185,7.869990076869726e-05,0.004476800095289946,0.0009172982536256313,0.0030307016568258405,0.0003665999975055456,0.00016220018733292818,True,0.0,state_update_bookkeeping_seconds,0.9827242013309654,0.017275798669034653,4.1862708231992345,2.088241956870246,4.1862708231992345,spec_reference,0.0010882000206038356
bytecode_selector_checkpoint_bank_6_a32,loops,medium_exact_trace,512,median_ratio,suite median pointer_like ratio vs best reference,stratified_first_pass,4.557705775534592,1.9234406190123308,204,58,146,True,True,0.000714199966751039,,0.001879699993878603,,0.0034444000339135528,True,True,True,,,204,58,146,6.56001502647996e-05,0.003378799883648753,0.00073089892975986,0.0022392012178897858,0.0002775000175461173,0.00013119971845299006,True,0.0,state_update_bookkeeping_seconds,0.9809545495241839,0.01904545047581602,4.822739000650537,1.8324200910414021,4.822739000650537,spec_reference,0.000714199966751039
bytecode_stack_memory_braid_8_a64,loops,long_exact_final_state,768,worst_ratio,suite worst pointer_like ratio vs best reference,stratified_first_pass,7.189920632922597,1.8732124541261865,174,59,115,True,True,0.0008630999363958836,,0.0011056000366806984,,0.0027343000983819366,True,True,True,,,174,59,115,4.910025745630264e-05,0.002685199840925634,0.0005944003351032734,0.0017180992290377617,0.0002758000046014786,9.690027218312025e-05,True,0.0,state_update_bookkeeping_seconds,0.982042842522897,0.017957157477102994,3.167999420553517,2.4731367652546608,3.167999420553517,spec_reference,0.0008630999363958836
bytecode_checkpoint_replay_long_8_a96,loops,long_exact_final_state,1024,control_heavy_extra,suite offered a higher-control row outside the median/worst pair,stratified_first_pass,4.605371886020612,1.9628426027155061,264,76,188,True,True,0.0013693999499082565,,0.0017538999672979116,,0.005633299937471747,True,True,True,,,264,76,188,8.990010246634483e-05,0.0055433998350054026,0.0010618997039273381,0.0038547003641724586,0.00045389996375888586,0.00017289980314671993,True,0.0,state_update_bookkeeping_seconds,0.9840413073217805,0.015958692678219515,4.113699535222819,3.211870712416117,4.113699535222819,spec_reference,0.0013693999499082565
bytecode_dynamic_latest_write,memory,medium_exact_trace,64,median_ratio,suite median pointer_like ratio vs best reference,stratified_first_pass,4.673543178215212,1.5588292696288737,6,1,5,False,True,6.900005973875523e-05,,9.540002793073654e-05,,0.0002850000746548176,True,True,True,,,6,1,5,3.300025127828121e-06,0.00028170004952698946,4.229997284710407e-05,0.00020519993267953396,2.5000073947012424e-05,9.200070053339005e-06,True,0.0,state_update_bookkeeping_seconds,0.9884209674968507,0.01157903250314934,4.130432288520784,2.9874212915507394,4.130432288520784,spec_reference,6.900005973875523e-05
bytecode_indirect_memory_roundtrip,memory,short_exact_trace,32,worst_ratio,suite worst pointer_like ratio vs best reference,stratified_first_pass,4.916977259968895,1.4703532941295565,4,1,3,False,True,4.47999918833375e-05,,6.19000056758523e-05,,0.00018269999418407679,True,True,True,,,4,1,3,1.9000144675374031e-06,0.00018079997971653938,2.3400061763823032e-05,0.00013539986684918404,1.6700010746717453e-05,5.300040356814861e-06,True,0.0,state_update_bookkeeping_seconds,0.9896003583578493,0.01039964164215063,4.078125609036741,2.951534368846586,4.078125609036741,spec_reference,4.47999918833375e-05
bytecode_arithmetic_smoke,smoke,short_exact_trace,32,median_ratio,suite median pointer_like ratio vs best reference,stratified_first_pass,3.554123178801272,1.2424266858844815,2,0,2,False,True,2.8099981136620045e-05,,4.8900023102760315e-05,,0.00011499994434416294,True,True,True,,,2,0,2,9.00006853044033e-07,0.00011409993749111891,1.4200108125805855e-05,8.469994645565748e-05,1.109996810555458e-05,4.09991480410099e-06,True,0.0,state_update_bookkeeping_seconds,0.9921738496642175,0.007826150335782442,4.092527457048518,2.351735992077096,4.092527457048518,spec_reference,2.8099981136620045e-05
bytecode_eq_branch_false,smoke,short_exact_trace,32,worst_ratio,suite worst pointer_like ratio vs best reference,stratified_first_pass,4.252019516073313,1.4512169151921555,3,0,3,False,True,4.3599982745945454e-05,,5.959998816251755e-05,,0.0001680999994277954,True,True,True,,,3,0,3,1.800013706088066e-06,0.00016629998572170734,2.22999369725585e-05,0.00011150003410875797,2.5999965146183968e-05,6.500049494206905e-06,True,0.0,state_update_bookkeeping_seconds,0.9892920064710575,0.01070799352894247,3.8555060997914667,2.820470349246035,3.8555060997914667,spec_reference,4.3599982745945454e-05
bytecode_helper_checkpoint_braid_6_a200_s0,stress_reference,medium_exact_trace,256,median_ratio,suite median pointer_like ratio vs best reference,stratified_first_pass,4.301698821454049,1.795588263279358,149,44,105,True,True,0.0010963999666273594,,0.0019277998944744468,,0.0044030999997630715,True,True,True,,,149,44,105,7.04003032296896e-05,0.004332699696533382,0.0008749003754928708,0.0028963997028768063,0.00041290000081062317,0.0001484996173530817,True,0.0,state_update_bookkeeping_seconds,0.9840111959225369,0.015988804077463104,4.015961450005755,2.2840026147856163,4.015961450005755,spec_reference,0.0010963999666273594
bytecode_helper_checkpoint_braid_long_18_a232_s0,stress_reference,long_exact_final_state,1024,worst_ratio,suite worst pointer_like ratio vs best reference,stratified_first_pass,4.504166441215723,1.965866331986089,425,128,297,True,True,0.003008199972100556,,0.004157999996095896,,0.010165099985897541,True,True,True,,,425,128,297,0.00016200065147131681,0.010003099334426224,0.0019015999278053641,0.0070748989237472415,0.0006849999772384763,0.0003416005056351423,True,0.0,state_update_bookkeeping_seconds,0.9840630538119579,0.01593694618804212,3.3791304036212355,2.44470899361278,3.3791304036212355,spec_reference,0.003008199972100556
